date,from,to,code,gsp,region_name,unit_rate_excl_vat,unit_rate_incl_vat
2019-01-31,00:00:00,00:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,11.59,12.1695
2019-01-31,00:30:00,01:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.13,13.7865
2019-01-31,01:00:00,01:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.63,14.3115
2019-01-31,01:30:00,02:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,12.72,13.356
2019-01-31,02:00:00,02:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,12.72,13.356
2019-01-31,02:30:00,03:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,12.72,13.356
2019-01-31,03:00:00,03:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,12.24,12.852
2019-01-31,03:30:00,04:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,12.24,12.852
2019-01-31,04:00:00,04:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,12,12.6
2019-01-31,04:30:00,05:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,11.52,12.096
2019-01-31,05:00:00,05:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.2,13.86
2019-01-31,05:30:00,06:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.15,13.8075
2019-01-31,06:00:00,06:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,16.03,16.8315
2019-01-31,06:30:00,07:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.44,14.112
2019-01-31,07:00:00,07:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,15.65,16.4325
2019-01-31,07:30:00,08:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,17.47,18.3435
2019-01-31,08:00:00,08:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,17.4,18.27
2019-01-31,08:30:00,09:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,16.78,17.619
2019-01-31,09:00:00,09:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,17.04,17.892
2019-01-31,09:30:00,10:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,16.13,16.9365
2019-01-31,10:00:00,10:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,15.79,16.5795
2019-01-31,10:30:00,11:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,14.74,15.477
2019-01-31,11:00:00,11:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,15.02,15.771
2019-01-31,11:30:00,12:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.92,14.616
2019-01-31,12:00:00,12:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,14.42,15.141
2019-01-31,12:30:00,13:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.78,14.469
2019-01-31,13:00:00,13:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,15.36,16.128
2019-01-31,13:30:00,14:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,14.4,15.12
2019-01-31,14:00:00,14:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,14.4,15.12
2019-01-31,14:30:00,15:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.92,14.616
2019-01-31,15:00:00,15:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,13.32,13.986
2019-01-31,15:30:00,16:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,14.88,15.624
2019-01-31,16:00:00,16:30:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,25.15,26.4075
2019-01-31,16:30:00,17:00:00,E-1R-AGILE-18-02-21-P,_P,North Scotland,28.32,29.736
